statement,response,n
I think I learned a lot from this course,Agree,10
I think I learned a lot from this course,Strongly agree,16
I think the content on the website clearly communicated the concepts,Agree,5
I think the content on the website clearly communicated the concepts,Neutral,1
I think the content on the website clearly communicated the concepts,Strongly agree,20
I think the instructors clearly communicated the concepts,Agree,10
I think the instructors clearly communicated the concepts,Neutral,1
I think the instructors clearly communicated the concepts,Strongly agree,15
I think there was a good mix of learning activities that encouraged my active participation,Agree,14
I think there was a good mix of learning activities that encouraged my active participation,Neutral,1
I think there was a good mix of learning activities that encouraged my active participation,Strongly agree,11
I think there was good alignment between the learning activities,Agree,10
I think there was good alignment between the learning activities,Neutral,1
I think there was good alignment between the learning activities,Strongly agree,15
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree,10
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral,3
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree,13
"In general, I think this is a good course",Agree,4
"In general, I think this is a good course",Strongly agree,22
